医院,姓名,科室,评分,擅长,简介
北京儿童医院,肖燕燕,小儿心内科,3.6,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。
北京儿童医院,袁越,小儿心内科,3.6,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。
北京儿童医院,丁枭伟,心血管内科,3.6,心血管内科常见病、多发病诊治,主任医师，心血管内科专科，从事临床工作多年，具有丰富的临床经验。
北京儿童医院,黑明燕,新生儿科,3.7,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。
北京儿童医院,姜敏,新生儿科,3.6,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。
北京儿童医院,陈永卫,新生儿外科,4.4,新生儿外科常见病、多发病诊治,主任医师，新生儿外科专科，从事临床工作多年，具有丰富的临床经验。
北京儿童医院,郭卫红,新生儿外科,3.9,新生儿外科常见病、多发病诊治,主任医师，新生儿外科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,常青,病理科,3.6,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
北京天坛医院,高宝勤,儿科,3.5,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
北京天坛医院,夏寅,耳鼻喉,3.5,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。
北京天坛医院,顾怡明,感染内科,3.3,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
北京天坛医院,于秋红,高压氧科,3.0,高压氧科常见病、多发病诊治,主任医师，高压氧科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,孟凡刚,功能神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,孙振荣,功能神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张弨,功能神经外科,4.1,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张建国,功能神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张凯,功能神经外科,4.0,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,卜小宁,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京天坛医院,任添华,急诊科,3.6,急危重症抢救、心肺复苏、急性中毒,主任医师，急诊科专科，在急危重症救治方面有丰富经验。
北京天坛医院,陈琦,精神科,3.9,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,王春雪,精神科,4.0,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,吴硕琳,精神科,3.7,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,康熙雄,临床检验,3.2,临床检验常见病、多发病诊治,主任医师，临床检验专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,韩如泉,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京天坛医院,金旭,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京天坛医院,康孝荣,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京天坛医院,陆瑜,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京天坛医院,彭宇明,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京天坛医院,周炜,免疫科,3.4,类风湿关节炎、系统性红斑狼疮、痛风,主任医师，风湿免疫专科，在风湿免疫疾病诊治方面有丰富经验。
北京天坛医院,徐潮,内分泌科,3.8,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。
北京天坛医院,孟莉,普通内科,3.3,普通内科常见病、多发病诊治,主任医师，普通内科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,马力,全科,3.6,全科常见病、多发病诊治,主任医师，全科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,邓一鸣,神经内科,4.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,冯涛,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,高峰,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,冀瑞俊,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,廖晓凌,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,朴英善,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,邵晓秋,神经内科,3.8,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,孙瑄,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,王蓬莲,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,王群,神经内科,3.9,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,王新高,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,王伊龙,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,王拥军,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,王永刚,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,温淼,神经内科,3.8,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,徐俊,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,杨中华,神经内科,4.4,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,张巍,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,张星虎,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,赵性泉,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
北京天坛医院,白吉伟,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,曹勇,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,陈峰,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,陈晓霖,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,初君盛,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,高国一,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,韩小弟,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,何江弘,神经外科,4.0,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,季楠,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,贾桂军,神经外科,4.5,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,江涛,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,江裕华,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,姜除寒,神经外科,4.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,姜中利,神经外科,4.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,晋强,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,李欢,神经外科,4.1,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,李文斌,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,李佑祥,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,林松,神经外科,4.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,刘爱华,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,刘佰运,神经外科,4.3,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,刘福生,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,刘健,神经外科,4.0,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,刘恋,神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,刘丕楠,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,刘巍,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,吕明,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,莫大鹏,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,缪中荣,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,穆士卿,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,石林,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,孙立倩,神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,孙彦辉,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,唐铠,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,王亮,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,王嵘,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,王硕,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,王兴朝,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,吴震,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,谢坚,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,辛宇,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,徐宇伦,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,延鹏翔,神经外科,4.4,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,杨岸超,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,杨新健,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,游赣,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,于书卿,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张静波,神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张俊廷,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张力伟,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张鹏飞,神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张谦,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张亚卓,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,张忠,神经外科,4.1,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,赵继宗,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,赵澎,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,周大彪,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,宗绪毅,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,石蕾,肾病内科,3.4,肾病内科常见病、多发病诊治,主任医师，肾病内科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,罗芳,疼痛科,3.6,疼痛科常见病、多发病诊治,主任医师，疼痛科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,徐有青,消化内科,3.6,胃食管反流病、胃炎、消化性溃疡,主任医师，消化内科专科，在消化系统疾病诊治方面有丰富经验。
北京天坛医院,徐慧,小儿呼吸科,4.9,小儿呼吸科常见病、多发病诊治,主任医师，小儿呼吸科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,李丽嫱,小儿神经内科,3.4,儿童癫痫、儿童脑瘫、儿童脑炎,主任医师，小儿神经内科专科，从事小儿神经系统疾病诊治多年。
北京天坛医院,宫剑,小儿神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,李春德,小儿神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,马振宇,小儿神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,田永吉,小儿神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
北京天坛医院,金泽宁,心血管内科,3.7,心血管内科常见病、多发病诊治,主任医师，心血管内科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,徐东,心血管外科,3.6,动脉硬化闭塞、静脉曲张、深静脉血栓,主任医师，血管外科专科，在血管疾病诊治方面有丰富经验。
北京天坛医院,闫朝武,心血管外科,3.6,动脉硬化闭塞、静脉曲张、深静脉血栓,主任医师，血管外科专科，在血管疾病诊治方面有丰富经验。
北京天坛医院,张鲁锋,心血管外科,3.6,动脉硬化闭塞、静脉曲张、深静脉血栓,主任医师，血管外科专科，在血管疾病诊治方面有丰富经验。
北京天坛医院,沈晨阳,血管外科,3.7,动脉硬化闭塞、静脉曲张、深静脉血栓,主任医师，血管外科专科，在血管疾病诊治方面有丰富经验。
北京天坛医院,李振水,营养科,2.9,营养科常见病、多发病诊治,主任医师，营养科专科，从事临床工作多年，具有丰富的临床经验。
北京天坛医院,石广志,重症监护室,3.5,危重症抢救治疗、多器官功能衰竭、脓毒症,主任医师，重症医学专科，在危重症救治方面有丰富经验。
北京协和医院,陈杰,病理科,3.8,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
北京协和医院,梁智勇,病理科,3.7,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
北京协和医院,王文泽,病理科,3.7,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
北京协和医院,吴焕文,病理科,3.7,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
北京协和医院,李正红,儿科,3.7,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
北京协和医院,邱正庆,儿科,3.8,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
北京协和医院,宋红梅,儿科,3.8,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
北京协和医院,王丹华,儿科,3.7,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
北京协和医院,魏珉,儿科,3.7,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
北京协和医院,陈晓巍,耳鼻喉,3.7,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。
北京协和医院,高志强,耳鼻喉,3.7,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。
北京协和医院,蒋子栋,耳鼻喉,3.7,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。
北京协和医院,祝小莉,耳鼻喉,3.7,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。
北京协和医院,李太生,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
北京协和医院,刘晓清,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
北京协和医院,高金明,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,黄蓉,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,施举红,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,孙雪峰,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,田欣伦,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,王孟昭,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,肖毅,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,徐凯峰,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,徐作军,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,张力,呼吸与危重症医学科,3.8,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,张晓彤,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
北京协和医院,于学忠,急诊科,3.8,急危重症抢救、心肺复苏、急性中毒,主任医师，急诊科专科，在急危重症救治方面有丰富经验。
北京协和医院,秦绪珍,临床检验,3.6,临床检验常见病、多发病诊治,主任医师，临床检验专科，从事临床工作多年，具有丰富的临床经验。
北京协和医院,马璐璐,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,裴丽坚,麻醉科,3.9,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,权翔,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,桑诺尔,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,申乐,麻醉科,3.9,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,谭刚,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,许力,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,叶铁虎,麻醉科,3.9,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,易杰,麻醉科,3.9,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
北京协和医院,于春华,麻醉科,3.9,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
